,,,,,,,,,,,,
,blade_name,code,brand,class,Speed,control,weight,plies,thickness,handle,combo price,price
,Xiom Feel AX,SXFAX,Xiom,OFF,93,63,88,"5w, 2c/a",5.7,"FL, ST",,$62.95
,Xiom Feel SX,SXFSX,Xiom,OFF,92,64,95,"7w, 2c",6.3,"FL, ST",,$81.95
,Nittaku S-CZ,SNSCZ,Nittaku,OFF-,85,70,85,"5w, 2c/z",6.2,"FL, ST",,$132.95
,Nittaku S-7,SNSC7,Nittaku,OFF,88,68,85,7w,6.2,"FL, ST",,$114.95
,Nittaku S-5,SNSC5,Nittaku,OFF-,86,69,85,5w,6.1,"FL, ST",,$88.95
,Juic Cabriolet I-NP,SJCIP,Juic,OFF,90,64,90,"5w, 2c",5.6,"FL, ST",$169.95,$104.95
,Juic Cabriolet F,SJCFF,Juic,OFF+,96,62,90,"5w, 2c",5.7,"FL, ST",$179.95,$114.95
,Juic Wallack,SJWLK,Juic,ALL+,84,73,87,7w,5.1,"FL, ST",,$67.95
,Tibhar E. Lebesson,STLEB,Tibhar,OFF-,89,68,85,5w,5.5,"FL, AN, ST",,$44.95
,Nittaku Violin,SNVIO,Nittaku,OFF,88,65,88,5w,5.3,"FL, ST",,$164.95
,Nittaku Tenor,SNTNR,Nittaku,OFF,90,63,92,5w,6,"FL, ST",,$199.95
,Nittaku Violoncello,SNVIC,Nittaku,DEF+,67,90,92,5w,5.3,"FL, ST",,$164.95
,Tibhar Balsa Fibretec 75,STBFC,Tibhar,OFF,92,64,73,"3w, 2g",9.2,"FL, AN, ST",,$54.95
,Tibhar Balsa Fibre OFF 60,STBFO,Tibhar,OFF-,90,65,78,"5w, 2g",8,"FL, AN, ST",,$54.95
,Tibhar Balsa Allround 50,STBFA,Tibhar,ALL,74,78,73,5w,8.2,"FL, AN, ST",,$54.95
,Nittaku Ludeack Fleet,SNLUF,Nittaku,OFF,89,74,90,"7w, 2g",6.2,"FL, ST",,$199.95
,Nittaku Ludeack Power,SNLUP,Nittaku,OFF,87,75,90,7w,6.6,"FL, ST",,$114.95
,Nittaku Tornado King,SNTNK,Nittaku,OFF,90,68,85,5w,5.5,"FL, ST",,$119.95
,Nittaku Tornado King Power,SNTKP,Nittaku,OFF,92,64,90,"5w, 2c/k",5.8,"FL, ST",,$164.95
,Nittaku Tornado King Speed,SNTKS,Nittaku,OFF+,96,61,90,"5w, 2c/k",5.7,"FL, ST",,$164.95
,Nittaku Resist II,SNRS2,Nittaku,DEF,58,95,80,5w,5.7,"FL, ST",,$64.95
,Nittaku Barwell Fleet,SNBAF,Nittaku,OFF,91,60,88,"7w, 2g",6.1,"FL, ST",,$229.95
,Nittaku Barwell,SNBAR,Nittaku,OFF,93,57,88,7w,6.6,"FL, ST",,$164.95
,Tibhar Ronin CB,STROC,Tibhar,OFF+,97,61,87,"3w, 2c",6.5,"FL, AN, ST",,$89.95
,Tibhar Ronin 6,STRO6,Tibhar,OFF,95,73,85,6w,7,"FL, AN, ST",,$59.95
,Tibhar Rapid Carbon Light,STRCL,Tibhar,OFF+,96,60,75,"5w, 2c",7.4,"FL, AN, ST",$148.95,$83.95
,Tibhar Curious,STCUR,Tibhar,OFF,94,62,88,7w,6.3,"FL, AN, ST",,$57.95
,Tibhar Furious,STFUR,Tibhar,OFF-,86,69,88,7w,6.5,"FL, AN, ST",,$38.95
,Nittaku Basaltec Inner,SNMBI,Nittaku,OFF,90,72,88,"5w, 2b",6.4,"FL, ST",,$259.95
,Nittaku Basaltec Outer,SNMBO,Nittaku,OFF,92,70,88,"5w, 2b",6.4,"FL, ST",,$259.95
,Nittaku Holz Sieben,SNMHS,Nittaku,OFF,87,76,88,7w,6.6,"FL, ST",,$249.95
,DHS Hurricane King 3,SCHK3,DHS,OFF,91,65,90,"5w, 2c/g",5.8,"FL, ST",,$199.95
,DHS Hurricane Hao 3,SCHH3,DHS,OFF,93,63,88,"4w, 1c/g",5.8,"FL, ST",,$199.95
,Andro Flaxonite Driver,SAFDO,Andro,OFF,92,65,88,"5w, 2f",5.7,"FL, AN, ST",,$60.95
,Xiom Omega Pro,SXOMP,Xiom,OFF,93,64,98,7w,6.1,"FL, ST",,$99.95
,Xiom Omega Tour,SXOMT,Xiom,OFF-,87,66,88,7w,5.9,"FL, ST",,$109.95
,Xiom Omega Euro,SXOMU,Xiom,OFF,92,65,97,7w,6,"FL, ST",,$89.95
,Dr. Neubauer Matador Texa Balsa,SUMTB,Dr. Neubauer,OFF,93,65,86,"7w, 2f",6,"FL, ST",,$74.95
,Yasaka Extra Special,SYEXT,Yasaka,OFF,92,64,90,7w,6.3,"FL, AN, ST",,$74.95
,Yasaka Mark V Special Edition,SYMKV,Yasaka,OFF-,87,67,84,5w,5.8,"FL, AN, ST",$117.95,$52.95
,Andro Wanokiwami AO OFF,SAWAO,Andro,OFF,90,68,86,5w,6.2,"FL, ST",,$162.95
,Andro Wanokiwami Midori,SAWMD,Andro,DEF,68,90,86,5w,5.7,"FL, ST",,$162.95
,Andro Wanokiwami Ren,SAWRN,Andro,OFF,91,67,84,7w,6.7,"FL, ST",,$179.95
